# POSIX external provider manifest.
#
# LICENSE POSTURE (this is why the file is shaped this way):
# MOST providers below are COPYLEFT — GPL-2.0, GPL-3.0, or the Vim license.
# Building those and hosting the BINARIES would make this project a distributor
# and trigger GPLv3 s6 / GPLv2 s3: convey corresponding source, build scripts
# and installation information, for every artifact, indefinitely.
#
# One row is permissive: lp (CUPS, Apache-2.0). Hosting that binary would
# trigger no source-conveyance duty. It is nevertheless fetched as source and
# built locally exactly like every other row. One policy for the whole table is
# auditable; two policies are a footgun that eventually mirrors the wrong row.
#
# So build and download are deliberately SEPARATED:
#   download -> UPSTREAM source only, pinned by sha256. Upstream is the
#               distributor; its obligations are already discharged.
#   build    -> LOCAL, from the recipe in build.sh. A binary you build for
#               yourself is not distribution, so no obligation is triggered.
#   we ship  -> this manifest and the recipe. Our own work, our own license.
#
# Never mirror or republish the built binaries. If an organisation chooses to
# host an internal prebuilt mirror, that is ITS distribution and it must ship
# the corresponding source alongside; this project does not.
#
# VERSIONS are pinned to exactly what the Profile A/B reference host runs, so a
# Profile C arm differs from A only in WHO supplies the command, never in which
# implementation. Re-pin only together with the reference image.
#
# sha256 is of the upstream artifact as downloaded, verified before extraction.
# An entry without a digest is REFUSED, never built.
#
# PLATFORMS is declared per provider and enforced. Cross-COMPILING is solved --
# one pinned Zig toolchain emits ELF, PE32+ and Mach-O from a single host, all
# verified. What varies per tool is CONFIGURING: autotools needs a POSIX shell,
# which Windows lacks natively. Three mechanisms exist, per tool:
#   - autotools cross-configure with --host=x86_64-w64-mingw32
#   - bashy itself as the POSIX shell, since it is a pure-Go bash 5.3 drop-in
#     with the Go coreutils supplying the unix tools (on-brand, unproven)
# A platform absent from a row is REFUSED, not attempted: better a clear refusal
# than an obscure configure failure. POSIX certification runs on Linux, so
# windows/darwin support is a product concern, never a certification blocker.
#
# command	version	license	platforms	sha256	url	recipe_revision (optional)
m4	1.4.19	GPL-3.0	linux,darwin,windows	63aede5c6d33b6d9b13511cd0be2cac046f2e70fd0a07aa9573a04a82783af96	https://ftp.gnu.org/gnu/m4/m4-1.4.19.tar.xz	posix-semantics-2
man	2.12.0	GPL-3.0	linux,darwin	415a6284a22764ad22ff0f66710d853be7790dd451cd71436e3d25c74d996a95	https://download-mirror.savannah.gnu.org/releases/man-db/man-db-2.12.0.tar.xz	posix-k-companion-self-manual-v2
ctags	6.2.1	GPL-2.0	linux,darwin,windows	f56829e9a576025e98955597ee967099a871987b3476fbd8dbbc2b9dc921f824	https://github.com/universal-ctags/ctags/archive/refs/tags/v6.2.1.tar.gz
ar	2.42	GPL-3.0	linux,darwin,windows	f6e4d41fd5fc778b06b7891457b3620da5ecea1006c6a4a41ae998109f85a800	https://ftp.gnu.org/gnu/binutils/binutils-2.42.tar.xz
nm	2.42	GPL-3.0	linux,darwin,windows	f6e4d41fd5fc778b06b7891457b3620da5ecea1006c6a4a41ae998109f85a800	https://ftp.gnu.org/gnu/binutils/binutils-2.42.tar.xz
strip	2.42	GPL-3.0	linux,darwin,windows	f6e4d41fd5fc778b06b7891457b3620da5ecea1006c6a4a41ae998109f85a800	https://ftp.gnu.org/gnu/binutils/binutils-2.42.tar.xz
ex	9.1.0016	Vim	linux,darwin,windows	abe876bb18554bb1eb69d23eaabe89caabeef182737e9e8bfa4cc298dee061df	https://github.com/vim/vim/archive/refs/tags/v9.1.0016.tar.gz
vi	9.1.0016	Vim	linux,darwin,windows	abe876bb18554bb1eb69d23eaabe89caabeef182737e9e8bfa4cc298dee061df	https://github.com/vim/vim/archive/refs/tags/v9.1.0016.tar.gz
# pax: Debian sources 1:20201030 from a non-GNU upstream; pin pending source identification.
lp	2.4.7	Apache-2.0	linux,darwin	dd54228dd903526428ce7e37961afaed230ad310788141da75cebaa08362cf6c	https://github.com/OpenPrinting/cups/releases/download/v2.4.7/cups-2.4.7-source.tar.gz	posix-sigpipe-v1
localedef	2.39	GPL-2.0-or-later	linux	f77bd47cf8170c57365ae7bf86696c118adb3b120d3259c64c502d3dc1e2d926	https://ftp.gnu.org/gnu/glibc/glibc-2.39.tar.xz	posix-frontend-v1
#
# lp: CUPS 2.4.7 is exactly what Ubuntu 24.04 ships (cups-client 2.4.7-1.2ubuntu7.14),
# so the C arm and the GNU A arm run the same upstream release. Apache-2.0 read from
# cups-2.4.7/LICENSE in the pinned tarball (verbatim Apache License 2.0); cups-2.4.7/
# NOTICE adds CUPS-specific exceptions (Sections 4a/4b/4d waiver for embedded object
# code, and a GPLv2-combination waiver) which only widen the grant. Not windows: the
# client is POSIX-only (fork/exec, unix sockets) and upstream ships no Windows build.
#
# localedef: BUILDS, but it is the least ordinary row here and the reasons matter.
